Vehicle,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Nissan Leaf," 9,674 "," 9,819 "," 22,610 "," 30,200 "," 17,269 "," 14,006 "," 11,230 "," 14,715 "," 12,365 "," 141,888 "
Smart ED, 342 , 139 , 923 ," 2,594 "," 1,387 ", 657 , 544 ," 1,219 ", 680 ," 8,485 "
Mitsubishi I EV, 76 , 588 ," 1,029 ", 196 , 115 , 94 , 6 , -   , -   ," 2,104 "
BMW Active E, -   , 673 , -   , -   , -   , -   , -   , -   , -   , 673 
Ford Focus EV, -   , 683 ," 1,738 "," 1,964 "," 1,582 ", 901 ," 1,817 ", 560 , -   ," 9,245 "
Honda Fit EV, -   , 93 , 569 , 407 , 2 , -   , -   , -   , -   ," 1,071 "
Tesla Model S, -   ," 2,400 "," 19,400 "," 16,750 "," 26,200 "," 30,200 "," 26,500 "," 25,745 "," 15,090 "," 162,285 "
Toyota RAV4 EV, -   , 192 ," 1,005 "," 1,184 ", 18 , -   , -   , -   , -   ," 2,399 "
Chevy Spark, -   , -   , 560 ," 1,145 "," 2,629 "," 3,035 ", 23 , 7 , -   ," 7,399 "
Fiat 500E, -   , -   , 260 ," 1,503 "," 3,477 "," 3,737 "," 3,336 "," 2,250 ", 632 ," 15,195 "
BMW i3, -   , -   , -   ," 6,092 "," 11,024 "," 7,625 "," 6,276 "," 6,117 "," 4,854 "," 41,988 "
Mercedes B-Class (B250e), -   , -   , -   , 774 ," 1,906 ", 632 , 744 , 135 , 9 ," 4,200 "
VW e-Golf, -   , -   , -   , 357 ," 4,232 "," 3,937 "," 3,534 "," 1,354 "," 4,863 "," 18,277 "
Kia Soul EV, -   , -   , -   , 359 ," 1,015 "," 1,728 "," 2,157 "," 1,134 ", 114 ," 6,507 "
Tesla Model X, -   , -   , -   , -   , 208 ," 19,600 "," 21,700 "," 26,100 "," 19,425 "," 87,033 "
Chevy Bolt, -   , -   , -   , -   , -   , 579 ," 23,297 "," 18,019 "," 16,313 "," 58,208 "
Hyundai Ioniq EV, -   , -   , -   , -   , -   , -   , 432 , 345 , 739 ," 1,516 "
Tesla Model 3, -   , -   , -   , -   , -   , -   ," 1,770 "," 139,782 "," 154,840 "," 296,392 "
Honda Clarity BEV, -   , -   , -   , -   , -   , -   ," 1,126 ", 948 , 742 ," 2,816 "
Jaguar I-Pace, -   , -   , -   , -   , -   , -   , -   , 393 ," 2,594 "," 2,987 "
Hyundai Kona Electric, -   , -   , -   , -   , -   , -   , -   , -   ," 1,721 "," 1,721 "
Audi e-tron, -   , -   , -   , -   , -   , -   , -   , -   ," 5,369 "," 5,369 "
Kia Niro EV, -   , -   , -   , -   , -   , -   , -   , -   ," 1,562 "," 1,562 "
,,,,,,,,,,